trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
81,close,2024-07-29 14:45:00,0,69483.11419999997,69234.34645000003,buy,-248.33975191735954,-206.0310864911066,sell,27.985168708513825,buy,2186.3435923900347
82,open,2024-07-29 02:40:00,0,68563.29019999999,68064.51365000004,buy,232.4476688169525,157.42569218749298,buy,69.71369531603905,neutral,2186.3435923900347
82,close,2024-07-29 14:10:00,0,69583.21139999997,69208.22555000003,buy,-206.02954674301145,-98.75312324909244,sell,24.919038803093034,buy,2141.7750750097794
83,open,2024-07-29 02:45:00,0,68592.71699999999,68074.85790000003,buy,250.60452070417523,176.06145789082944,buy,71.50945004962747,sell,2141.7750750097794
83,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,2098.369205992484
84,open,2024-07-29 02:50:00,0,68621.03719999999,68084.50970000002,buy,257.9200653941225,192.43317939148807,buy,69.14315277020047,neutral,2098.369205992484
84,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,2058.8804065516547
85,open,2024-07-29 02:55:00,0,68651.71719999998,68093.97465000003,buy,264.9394800042501,206.93443951404046,buy,70.24864712102335,sell,2058.8804065516547
85,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,2017.0273480708825
86,open,2024-07-29 03:00:00,0,68685.49759999997,68104.22465000003,buy,277.0729874053068,220.9621490922937,buy,72.65772912563048,sell,2017.0273480708825
86,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1982.9156226633565
87,open,2024-07-29 03:05:00,0,68717.53299999997,68114.15680000003,buy,277.99726827615814,232.3691729290666,buy,69.26364545001339,neutral,1982.9156226633565
87,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1953.2220266390973
88,open,2024-07-29 03:10:00,0,68748.41299999997,68123.68675000002,buy,266.9371775820764,239.28277385966857,buy,64.13857577952939,neutral,1953.2220266390973
